072_a,072_x
94(450/458.2),"Dějiny Itálie a italských ostrovů, San Marina, Vatikánu a Malty"
57/59,Biologické vědy
94(62),Dějiny Egypta a Súdánu
82-97,Náboženská literatura. Duchovní literatura (o ní)
786,Hudba pro klávesové nástroje
028,Čtení. Četba
339.7/.9,Světová ekonomika a mezinárodní finance
616-053.2,Pediatrie
069,Muzea. Muzeologie. Muzejnictví. Výstavy
343.97,Kriminologie
27-5,Liturgie. Křesťanské umění a symbolika. Duchovní život
14,Filozofické systémy a hlediska
59,Zoologie
794.9,Hry závislé na náhodě
621,Strojírenství
821.162.09,Západoslovanské literatury (o nich)
515.1,Topologie
82-93,Literatura pro děti a mládež (o ní)
159.98,Aplikovaná psychologie
811.51,Uraloaltajské jazyky
914.37,Geography of and travel in Czechia and Slovakia
359,Vojenské námořnictvo a loďstvo
398,Folklor. Lidové tradice
793.8,Zábavná magie
537.6/.8,Magnetismus. Elektromagnetismus
2,Náboženství
356,Vojenská služba. Pěchota
25,"Náboženství, mytologie, kulty"
94(64),Dějiny států a území severozápadní Afriky a přilehlých ostrovů
79,Rekreace. Volný čas. Zábava. Hry. Sport
646,Odívání. Péče o tělo
347.9,Občanské soudní řízení. Soudnictví
94(83),Dějiny Chile
821-93-053.4,Literatura pro nejmenší děti
007,Teorie systémů. Automatické systémy. Informační systémy. Kybernetika
574,Obecná ekologie
903,Pravěk
94(437),Dějiny Česka a Slovenska
101,Filozofie
58,Botanika
782.1,Dramatic vocal forms. Operas
530,Physics
621.38,Elektronika
74,Kresba. Umělecká řemesla
622,Hornictví
821.13,Románské literatury
364.3,Sociální pojištění. Zdravotní pojištění. Důchody
572,Biochemistry
548,Crystallography
682,Kovářství
025.3/.4,Katalogizace. Selekční jazyky
94(7),Dějiny Severní a Střední Ameriky
621.39,Sdělovací technika
004.9,Speciální počítačové metody. Počítačová grafika
580,Plants
781.7,Sacred music
785,Instrumentální hudba. Symfonická hudba. Hudba pro více nástrojů
64,Domácí hospodářství
656.2,Železniční doprava
571.6,Cell biology
821.134.2-3,"Španělská próza, španělsky psaná"
339,Obchod
94(65),Dějiny Alžírska
159.929,Srovnávací psychologie
821.133.1,"Francouzská literatura, francouzsky psaná"
22/24,Náboženství Dálného východu. Indická náboženství. Hinduismus. Buddhismus
510,Mathematics
891.86-3,Czech fiction
662,Výbušniny. Paliva
620.9,Energetika
599.89,Hominidae. Hominidi - lidé
821.134.2-1,"Španělská poezie, španělsky psaná"
343.8,Vězeňství
632,Ochrana rostlin. Fytopatologie
692,Konstrukční prvky a části staveb
373.5,Střední školy
795,Elektronické hry
697,"Vytápění, větrání, klimatizace"
070,Noviny. Tisk. Žurnalistika
821.521,Japonská literatura
793,Společenská zábava
82:37,Literární výchovné programy
"14(100-15)""15/20""",Moderní západní filozofie
316.33,"Ekonomická sociologie. Sociologie institucí, lidských sídel a komunit"
51,Matematika
616.31,Stomatologie
811.14,Řečtina
376,Výchova a vzdělávání zvláštních skupin osob
579,Mikrobiologie
378,Vysoké školy
94(55),Dějiny Íránu
634,Ovocnářství
913:94,Historická geografie
792,Divadlo. Divadelní představení
343,Trestní právo
821.58.09,Sino-tibetské literatury (o nich)
616-053.9,Geriatrie
821-97,Náboženská literatura. Duchovní literatura
673,Předměty z neželezných kovů
78.07,"Hudebníci, skladatelé a jiná hudební povolání"
53,Fyzika
636,Chov zvířat. Živočišná výroba
821.51,Uraloaltajské literatury
780,Music
82,Literatura. Literární život
94(734),Dějiny severovýchodních států USA
694,Dřevěné stavby. Tesařství. Truhlářství
821.134.2,"Španělská literatura, španělsky psaná"
94(41),Dějiny britských ostrovů
656.62,Říční doprava
535,Optika
681,Precision instruments and other devices
94(4),Dějiny Evropy
821.161.09,Východoslovanské literatury (o nich)
623,Vojenská technika
679,"Výroba kabelů, provazů a lan. Průmysl kamene"
788,Wind instruments (aerophones)
154,Subconscious and altered states and processes
320,Political science (politics and government)
94(63),Dějiny Etiopie a Eritreje
821.133.1-3,"Francouzská próza, francouzsky psaná"
671,Předměty z drahých kovů
02,Knihovnictví. Informatika
811.34,Vymřelé jazyky neznámé klasifikace
667,Průmysl barviv
712,Plánování krajiny. Parky. Zahrady
542,Praktická laboratorní chemie. Preparativní a experimentální chemie
821.162,Západoslovanské literatury
94(53),Dějiny států a území na Arabském poloostrově
821.14'02-2,Řecké antické drama
575,Obecná genetika. Obecná cytogenetika. Evoluce
514,Geometrie
14(100-11),Orientální filozofie
821-31/-34,"Milostná, dobrodružná, fantastická próza"
639.2/.6,Rybářství
341,Mezinárodní právo
920,"Biography, genealogy, insignia"
346,Hospodářské právo
913(8),"Geografie Jižní Ameriky, reálie, cestování"
316.4/.7,Sociální interakce. Sociální komunikace
72/76,Výtvarné umění
78.011.26,Populární hudba. Populární písně. Populární taneční hudba
336.1/.5,Veřejné finance
94(66/67),Dějiny Afriky na jih od Sahary a států/území západní Afriky a přilehlých ostrovů
71,Územní plánování. Urbanismus. Památková péče
339.5,Zahraniční obchod. Mezinárodní obchod
17,Etika. Morální filozofie
94(71),Dějiny Kanady
78.01,Muzikologie. Dějiny hudby
821.162.1.09,Polská literatura (o ní)
811.1/.8,Různé jazyky
821.58,Sino-tibetské literatury
94(510/519),"Dějiny Číny, Mongolska a Koreje"
316.3,Globální společnosti. Sociální struktura. Sociální skupiny
811.162.3,Čeština
626/627,Vodní stavitelství. Vodní hospodářství
821.161.1.09,"Ruská literatura, rusky psaná (o ní)"
351,"Úkoly veřejné správy, správní opatření, legislativa"
642,Číšnictví. Servírování
510,Obecné úvahy o matematice
519.1/.8,Kombinatorika. Teorie grafů. Matematická statistika. Operační výzkum. Matematické modelování
665,Oleje. Tuky. Vosky. Pojiva. Pryskyřice
365,Požadavky na bydlení a jejich uspokojování
368,Pojišťovnictví
314,Demografie. Populace
373.2/.3,Předškolní a primární výchova a vzdělávání
517,Matematická analýza
912,Mapy. Atlasy. Glóby
821.432,Nigerokonžské literatury
913(4),"Geografie Evropy, reálie, cestování"
09,"Rukopisy, prvotisky, staré tisky. Vzácná a pozoruhodná díla"
324,"Volby, volební kampaně, referenda"
556,Hydrologie
332,Financial economics
811.18,Albánština
821.134.3.09,"Portugalská literatura, portugalsky psaná (o ní)"
821.124-2,"Latinské drama, latinsky psané"
821.531.09,Korejská literatura (o ní)
57,Obecná biologie
94(6),Dějiny Afriky
696,Instalace v budovách
94(48),Dějiny skandinávských zemí
821.131.1-1,Italská poezie
553,Economic geology
004.6,Interfacing and communications
546,Anorganická chemie
39,Kulturní antropologie. Etnologie. Etnografie
352/354,"Stupně místní, oblastní a ústřední správy"
21,Prehistorická a primitivní náboženství
821.111-3,"Anglická próza, anglicky psaná"
821.111,"Anglická literatura, anglicky psaná"
780.72,Musicology
323,Civil and political rights
821.62,Austronéské literatury
821.41,Afroasijské (hamitosemitské) literatury
52,Astronomie
821.521.09,Japonská literatura (o ní)
821.131.1-3,Italská próza
821.81/.82,Literatury severoamerických Indiánů
63,Zemědělství a příbuzné oblasti vědy a techniky
349,"Pracovní, sociální, stavební právo. Právo životního prostředí"
72,Architektura
811.41,Afroasijské (hamitosemitské) jazyky
821.16,Slovanské literatury
821.134.2-2,"Španělské drama, španělsky psané"
821,Literatura v různých jazycích
004.7,Počítačové sítě
13,Filozofie ducha
532,Mechanika tekutin obecně. Mechanika kapalin
56,Paleontologie
821-1/-8,Literatura různých forem a žánrů
520,Astronomické přístroje a metody
791,Film. Cirkus. Lidová zábava
62,Technika všeobecně
633,Rostlinná výroba
681,Přesná mechanika a přístroje
26,Judaismus
94(59),Dějiny států jihovýchodní Asie
005,Management. Řízení
684,Nábytkářský průmysl
366,Ochrana spotřebitele. Chování spotřebitele
821.124-3,"Latinská próza, latinsky psaná"
94(560/569.5),Dějiny států západní Asie. Blízký východ
27-1/-2,Křesťanská teologie. Dogmatická teologie
2-23/-27,Bible. Biblistika
030,Všeobecná příručková díla
929.5/.9,Genealogie. Heraldika. Šlechta. Vlajky
511,Teorie čísel
821.111(73)-1,Americká poezie
630,Lesnictví
635,Zahrádkářství
686,Knihařství. Sklenářství. Kancelářské potřeby
55,Vědy o Zemi. Geologické vědy
614.8,Úrazy a jejich prevence
811.135,Balkánské románské jazyky
811.111,Angličtina
613.7,"Zdraví a hygiena volného času, rekreace a spánku"
94(495/498),Dějiny států a území na Balkánském poloostrově
551,Geologie. Meteorologie. Klimatologie
511.1,Aritmetika
913(5),"Geografie Asie, reálie, cestování"
94(85),Dějiny Peru
100,Philosophy
004,"Data processing, computer science"
54,Chemie. Mineralogické vědy
550,Geofyzika. Geochemie. Geobiologie. Užitá geologie
628,Sanitární technika. Vodárenství. Odpadové hospodářství. Světelná technika
37.014,Vzdělávací a výchovná politika
624,Stavební inženýrství
512,Algebra
021,"Funkce, význam a využívání knihoven"
798,Jezdectví. Sporty se zvířaty
821.13.09,Románské literatury (o nich)
339.3,Vnitřní obchod
821.124,"Latinská literatura, latinsky psaná"
094,Staré tisky
821.163,Jihoslovanské literatury
821.131.1-2,Italské drama
537,Elektřina
94(69),Dějiny afrických ostrovů v Indickém a jižním Atlantském oceánu
94(430/439),Dějiny zemí střední Evropy
811.133.1,Francouzština
395,Společenské chování. Etiketa
534,Mechanické kmity. Akustika
781,Hudební teorie
656.8,Poštovní služby a správa
355/359,Vojenství. Obrana země. Ozbrojené síly
393,Smrt. Pohřby. Obyčeje při úmrtí
003.05,Psaní a stenografie
5,Přírodní vědy. Matematické vědy
821.14'02-1,Řecká antická poezie
617,Ortopedie. Chirurgie. Oftalmologie
791/793,"Divadlo, film, tanec (obecně)"
82:05,"Literární revue, časopisy"
911,Obecná geografie. Systematická geografie
794,"Deskové a stolní hry, logické hry, hry zručnosti"
821.81/.82.09,Literatury severoamerických Indiánů (o nich)
780.6,Hudební nástroje a příslušenství
661,Chemikálie
391,"Oděv, móda, ozdoby"
34,Právo
637,Živočišné produkty
363.7,Environmental protection
316.36,Manželství a rodina. Sexuální vztahy
94(46),Dějiny států a území na Pyrenejském poloostrově
410,Linguistics
022,"Budovy, areály a zařízení knihoven"
783,Církevní hudba. Duchovní hudba. Náboženská hudba
649,"Domácí péče o děti, nemocné a hosty"
35,Veřejná správa
600,Technology (applied sciences)
005.91:82-6,Úřední korespondence
344,Vojenské trestní právo
364-1/-7,Druhy sociální pomoci a služeb
659,Reklama. Public relations. Média
821.112.2,"Německá literatura, německy psaná"
390,"Customs, etiquette, folklore"
811.113,Severogermánské jazyky
781,General principles and musical forms
528,Geodezie. Kartografie
91,Geografie jako věda. Výzkum. Cestování
94(5),Dějiny Asie. Orient
656,Doprava
913(3),Geografie starověkého světa
821.112.2-3,"Německá próza, německy psaná"
332,"Regionální ekonomie, regionální ekonomika"
685,Zpracování kůže. Obuvnictví
821.14,"Řecká literatura (středověká, novodobá)"
378,Higher education
681.5,Automatizační a řídicí technika
94(84),Dějiny Bolívie
230,"Christian theology, Christian doctrinal theology"
811.131,Italo-románské jazyky
7.01/.09,Umění
94(44/449.49),Dějiny Francie a Monaka
821.133.1-2,"Francouzské drama, francouzsky psané"
75,Malířství
645,Nábytek
61,Lékařské vědy. Lékařství
693,Zednické práce
688,Dekorační předměty. Hračky. Galanterie
004.3,Počítače. Hardware
27-46/-48,Pastorální teologie
811.13,Románské jazyky
526.1,Geodesy
336.7,Finance
656.6/.7,Vodní a letecká doprava
93/94,Dějiny (obecně)
638,Včelařství
796,Sport. Hry. Tělesná cvičení
73,"Sochařství, keramika, porcelán, umělecké zpracování kovů"
811.163,Jihoslovanské jazyky
811.35,Kavkazské jazyky
308,Sociografie
"14(100)""04/14""",Středověká filozofie
821.112.2-1,"Německá poezie, německy psaná"
821.162.1,Polská literatura
908,Studium oblastí a lokalit obecně
325,"Mezinárodní migrace, exil, kolonizace"
338.3/.4,Hospodářská a výrobní odvětví
821.163.1.09,Staroslověnská literatura (o ní)
94(72),Dějiny Střední Ameriky a Karibské oblasti
821.111(73)-2,Americké drama
020,Library and information sciences
78.03,"Hudební styly, vlivy, školy"
676,Papírenský průmysl
005,"Computer programming, programs, data"
94(574/575.4),Dějiny států Střední Asie
913(9),"Geografie Oceánie, polárních oblastí, Austrálie, atd."
328,Zastupitelské orgány. Vlády. Politické systémy jednotlivých zemí
634,"Orchards, fruits"
611,Anatomie člověka a srovnávací anatomie
27-9,Dějiny křesťanské církve
664,Potravinářský průmysl
913(437),"Geografie Česka a Slovenska, reálie, cestování"
821.531,Korejská literatura
551,"Geology, meteorology"
572,Fyzická antropologie
070.5,Publishing
159.9,Psychologie
370,Education
024,Služby knihoven
591,Obecná zoologie
821.134.3,"Portugalská literatura, portugalsky psaná"
08,Souborná díla
519,Probabilities and applied mathematics
553,Ložisková geologie
821.162.3-1,Česká poezie
656.1/.5,Pozemní doprava
675,Kožedělný průmysl
821.124.09,"Latinská literatura, latinsky psaná (o ní)"
930.11-930.16,Specific prehistoric ages
536,Teplo. Termodynamika
811.17,Baltské jazyky
613,Hygiena. Lidské zdraví
095/096,Vzácná díla
324,Political process
821.133.1.09,"Francouzská literatura, francouzsky psaná (o ní)"
80,Filologie
811.58,Čínské jazyky
784-788,Musical instruments and accessories
811.21/.22,Indoíránské jazyky
342.53,Zákonodárství
658,Řízení a správa podniku
343.9,Kriminalistika
616.89,Psychiatrie
004.4/.6,Programování. Software
090,"Manuscripts, rare books, other rare printed materials"
023,Řízení knihoven
811.162,Západoslovanské jazyky
37.016,Učební osnovy. Vyučovací předměty. Učebnice
640.4,Hotelnictví. Stravování
666,Sklářství. Keramika. Cement
821.133.1-1,"Francouzská poezie, francouzsky psaná"
133,Ezoterismus. Okultismus
683,Železářství. Zámečnictví. Topná zařízení
006,Metrologie. Standardizace
347,Soukromé právo
004.2,Počítačová architektura
821.161.1,"Ruská literatura, rusky psaná"
82-31/-34,"Milostná, dobrodružná, fantastická próza (o ní)"
94(100),Světové dějiny
94(94),Dějiny Austrálie
821.162.3,Česká literatura
358,Vojenské letectvo. Dělostřelectvo. Ženijní jednotky. Technické služby armády. Chemické vojsko
005.91/.92,Vedení úřadu (kanceláře). Spisová služba
784-788,Instruments and instrumental ensembles and their music
678,Průmysl makromolekulárních látek. Gumárenský průmysl. Průmysl plastů
004.8,Umělá inteligence
811.11,Germánské jazyky
782,Vocal music
641,Kuchařství. Potraviny. Vařená jídla
16,Logika
615.8,Fyzioterapie. Psychoterapie. Alternativní lékařství
821.11,Germánské literatury
94(8),Dějiny Jižní Ameriky. Latinská Amerika
821.111(73)-3,Americká próza
159.92,Vývojová psychologie. Individuální psychologie
821.162.4,Slovenská literatura
655,Polygrafie. Vydavatelství a knižní obchod
930,Historická věda. Pomocné vědy historické. Archivnictví
364,Sociální problémy vyžadující podporu a pomoc. Sociální zabezpečení
94(738),Dějiny západních států USA
821.11.09,Germánské literatury (o nich)
539,Fyzikální stavba hmoty. Jaderná fyzika. Molekulární fyzika
891.8609,Czech literature (on)
549,Mineralogy
2-1,Přirozená teologie. Náboženská filozofie
821.162.4.09,Slovenská literatura (o ní)
394,Veřejný a společenský život. Každodenní život
799,Sportovní rybolov. Lovecký sport. Sportovní střelba
913,Regionální geografie
614,Veřejné zdraví a hygiena
544,Fyzikální chemie
342,Ústavní právo. Správní právo
027,Univerzální knihovny. Veřejné knihovny. Soukromé knihovny
28,Islám
821-93,Literatura pro děti a mládež (beletrie)
94(81),Dějiny Brazílie
392,"Zvyky, mravy, obyčeje v soukromém životě"
531,Obecná mechanika. Mechanika pevných a tuhých těles
821.134.2.09,"Španělská literatura, španělsky psaná (o ní)"
050,Seriálové publikace. Periodika
616,Diseases. Clinical medicine
821.51.09,Uraloaltajské literatury (o nich)
912:904,Staré mapy
159.96,Zvláštní duševní stavy a procesy. Hlubinná psychologie
821.131.1,Italská literatura
94(47),Dějiny zemí východní Evropy
677,Textilní průmysl
329,Politické strany a hnutí
061.2,Nevládní organizace a kooperace
821.17.09,Baltské literatury (o nich)
010,Bibliography
930.85,Dějiny civilizace. Kulturní dějiny
94(892/899),Dějiny Paraguaye a Uruguaye
94(47+57),Dějiny SSSR a Ruska
"94(100)""04/...""",Dějiny středověku a novověku (obecně)
669,Metalurgie
821.873,Literatury andsko-rovníkových jazyků
520,Astronomy and allied sciences
821.131.1.09,Italská literatura (o ní)
2-74,Náboženské právo. Církevní právo
821.112.2.09,"Německá literatura, německy psaná (o ní)"
821.162.3-3,Česká próza
